aliveTime,authTime,connectTime,httpType,ipAddress,position,speed
,,,,,,
51天,2017/6/15 13:12,0.382,HTTPS,125.89.122.44:808,广东河源,1.911
,,,,,,
39分钟,2017/6/15 13:12,0.065,HTTPS,115.220.144.185:808,浙江宁波,0.327
,,,,,,
91天,2017/6/15 13:11,0.048,HTTP,114.239.3.183:808,江苏宿迁,0.24
,,,,,,
1小时,2017/6/15 13:11,0.931,HTTP,123.55.69.153:808,河南新乡,4.657
,,,,,,
96天,2017/6/15 13:11,0.086,HTTP,175.155.25.53:808,四川德阳,0.43
,,,,,,
13小时,2017/6/15 13:11,0.222,HTTPS,113.238.13.103:80,辽宁丹东,1.11
,,,,,,
1分钟,2017/6/15 13:11,0.093,HTTPS,125.89.122.173:808,广东河源,0.465
,,,,,,
41天,2017/6/15 13:11,0.175,HTTPS,122.245.64.87:808,浙江宁波,0.875
,,,,,,
62天,2017/6/15 13:11,0.189,HTTP,115.215.70.102:808,浙江宁波,0.949
,,,,,,
289天,2017/6/15 13:11,1.215,HTTP,114.239.1.114:8118,江苏宿迁,6.077
,,,,,,
1分钟,2017/6/15 13:11,0.113,HTTPS,115.202.185.227:808,浙江台州,0.566
,,,,,,
49天,2017/6/15 13:11,0.205,HTTP,115.220.144.19:808,浙江宁波,1.025
,,,,,,
59天,2017/6/15 13:10,0.065,HTTPS,119.5.0.114:808,四川南充,0.326
,,,,,,
55天,2017/6/15 13:10,0.246,HTTPS,122.245.68.209:808,浙江宁波,1.234
,,,,,,
36天,2017/6/15 13:10,0.026,HTTP,116.226.90.12:808,上海,0.132
,,,,,,
1天,2017/6/15 13:10,0.021,HTTPS,119.48.186.223:8118,吉林长春,0.108
,,,,,,
1天,2017/6/15 13:10,0.032,HTTP,220.179.7.249:8080,安徽安庆,0.16
,,,,,,
50天,2017/6/15 13:10,0.021,HTTP,139.224.237.33:8888,,0.106
,,,,,,
1471天,2017/6/15 13:09,0.407,HTTPS,218.108.107.70:909,浙江杭州,2.492
,,,,,,
9小时,2017/6/15 13:05,0.027,HTTPS,113.121.20.252:808,山东烟台市莱阳,0.136
,,,,,,
483天,2017/6/15 13:04,0.153,HTTP,61.232.254.39:3128,新疆乌鲁木齐,0.765
,,,,,,
1小时,2017/6/15 13:03,0.14,HTTP,115.220.150.59:808,浙江宁波,0.704
,,,,,,
30分钟,2017/6/15 13:03,0.339,HTTPS,112.194.43.250:808,四川达州,1.699
,,,,,,
28天,2017/6/15 13:02,0.037,HTTP,115.215.210.89:8118,浙江宁波,0.189
,,,,,,
1分钟,2017/6/15 13:01,0.418,HTTP,153.36.12.12:808,江苏,2.091
,,,,,,
16分钟,2017/6/15 13:01,0.313,HTTP,115.213.177.240:808,浙江丽水,1.569
,,,,,,
1分钟,2017/6/15 13:00,0.45,HTTPS,153.36.56.70:808,江苏,2.252
,,,,,,
1分钟,2017/6/15 13:00,0.388,HTTPS,153.36.177.171:808,江苏,1.94
,,,,,,
1分钟,2017/6/15 13:00,0.266,HTTP,183.149.46.226:808,浙江台州,1.334
,,,,,,
1分钟,2017/6/15 13:00,0.808,HTTP,49.83.207.123:808,江苏盐城,4.044
,,,,,,
75天,2017/6/15 13:00,0.048,HTTP,119.5.0.122:808,四川南充,0.243
,,,,,,
1天,2017/6/15 13:00,1.056,HTTP,123.170.255.110:808,山东滨州,5.282
,,,,,,
1分钟,2017/6/15 13:00,1.391,HTTPS,113.123.127.59:808,山东滨州,6.955
,,,,,,
58天,2017/6/15 13:00,0.066,HTTP,221.229.47.79:808,江苏扬州,0.333
,,,,,,
1分钟,2017/6/15 12:55,0.125,HTTPS,60.184.173.92:808,浙江丽水,0.626
,,,,,,
1分钟,2017/6/15 12:55,0.11,HTTPS,180.110.5.23:808,江苏南京,0.552
,,,,,,
1分钟,2017/6/15 12:55,0.932,HTTPS,121.62.169.65:808,湖北黄冈,4.662
,,,,,,
954天,2017/6/15 12:51,0.3,HTTP,60.169.78.218:808,安徽芜湖,2.68
,,,,,,
74天,2017/6/15 12:51,0.077,HTTP,115.215.70.129:808,浙江宁波,0.387
,,,,,,
89天,2017/6/15 12:51,0.039,HTTP,114.239.144.28:808,江苏宿迁市泗阳县,0.196
,,,,,,
31天,2017/6/15 12:47,0.777,HTTP,122.241.74.140:808,浙江丽水,3.885
,,,,,,
1分钟,2017/6/15 12:46,0.45,HTTP,121.206.35.123:808,福建漳州,2.253
,,,,,,
1分钟,2017/6/15 12:46,0.053,HTTP,222.189.246.218:808,江苏扬州,0.265
,,,,,,
70天,2017/6/15 12:46,0.04,HTTP,221.229.45.56:808,江苏扬州,0.2
,,,,,,
1分钟,2017/6/15 12:45,1.19,HTTP,114.239.146.165:808,江苏宿迁市泗阳县,5.954
,,,,,,
1分钟,2017/6/15 12:45,0.183,HTTP,115.213.177.227:808,浙江丽水,0.915
,,,,,,
62天,2017/6/15 12:45,0.543,HTTPS,125.89.123.201:808,广东河源,2.718
,,,,,,
1分钟,2017/6/15 12:45,0.062,HTTP,113.69.213.112:808,广东佛山,0.314
,,,,,,
1分钟,2017/6/15 12:45,0.049,HTTP,125.115.182.123:808,浙江宁波,0.247
,,,,,,
1分钟,2017/6/15 12:44,0.658,HTTPS,115.151.4.132:808,江西宜春,3.29
,,,,,,
21天,2017/6/15 12:40,1.43,HTTPS,221.230.72.221:80,江苏镇江,7.152
,,,,,,
1分钟,2017/6/15 12:33,0.05,HTTPS,111.179.15.169:808,湖北咸宁,0.251
,,,,,,
